source_id,transformation_name,step_name,connection
311,send_fuel_types,access_token,fender_prod
312,send_fuel_types,access_token,fender_test
313,send_fuel_types,access_token,fender_dev
314,send_gps_trips,access_token 2,fender_test
315,send_gps_trips,fact_fender_gpstrips,fender_test
316,send_gps_trips,Lookup hash,fender_test
317,send_gps_trips,access_token 2,fender_dev
318,send_gps_trips,fact_fender_gpstrips_dev,fender_dev
319,send_gps_trips,Lookup hash,fender_dev
320,send_gps_trips,access_token 2,fender_prod
321,send_gps_trips,fact_fender_gpstrips,fender_prod
322,send_gps_trips,Lookup hash,fender_prod
323,send_rutesett,access_token 2,fender_test
324,send_rutesett,access_token 2 2,fender_test
325,send_rutesett,fact_fender_deviations,fender_test
326,send_rutesett,fact_fender_trips,fender_test
327,send_rutesett,Lookup hash,fender_test
328,send_rutesett,Lookup hash 2,fender_test
329,send_rutesett,access_token 2,fender_prod
330,send_rutesett,access_token 2 2,fender_prod
331,send_rutesett,fact_fender_deviations,fender_prod
332,send_rutesett,fact_fender_trips,fender_prod
333,send_rutesett,Lookup hash,fender_prod
334,send_rutesett,Lookup hash 2,fender_prod
335,send_rutesett,access_token 2,fender_dev
336,send_rutesett,access_token 2 2,fender_dev
337,send_rutesett,fact_fender_deviations,fender_dev
338,send_rutesett,fact_fender_trips_dev,fender_dev
339,send_rutesett,Lookup ,fender_dev
340,send_rutesett,Lookup hash,fender_dev
341,send_trafikkmeldinger,access_token,fender_test
342,send_trafikkmeldinger,fact_trafikkmeldinger,datamarts
343,send_trafikkmeldinger,Lookup hash,fender_test
344,send_trafikkmeldinger,access_token,fender_prod
345,send_trafikkmeldinger,fact_trafikkmeldinger,datamarts
346,send_trafikkmeldinger,Lookup hash,fender_prod
347,send_trafikkmeldinger,access_token,fender_dev
348,send_trafikkmeldinger,fact_trafikkmeldinger,datamarts
349,send_trafikkmeldinger,Lookup hash,fender_dev
350,work_absence,apsabsence,work
351,work_absence,Lookup dim_1,work
352,work_absence,Lookup type & seq,work
353,work_absence_old,apsabsence,work
354,work_absence_old,work_schedule,work
355,work_absence_old,Lookup dim_1,work
356,work_absence_old,Lookup type & seq,work
357,work_account_relations,agresso.AGLRELVALUE,agresso_m7_read
358,work_account_relations,dim_agldimvalue,datamarts
359,work_anbud_relations,agresso.AGLRELVALUE,agresso_m7_read
360,work_anbud_relations,dim_agldimvalue,datamarts
361,work_employee_main_post,work_ahsresources,work
362,work_employee_main_post,work_aprresourcepost,work
363,work_employee_main_post,work_aprresourcepost 2,work
364,work_employee_main_post,Lookup ansattform,work
365,work_fdb_profilkoder,work_fdb_token,work
366,work_fdb_samband,work_connections_rel,work
367,work_fdb_samband,work_fdb_token,work
368,work_fdb_trafikkdata,work_fdb_samband,work
369,work_fdb_trafikkdata,work_fdb_token,work
370,work_fdb_trafikkdata,work_fdb_trafikkdata (max date),work
371,work_kapitk_relations,agresso.AGLRELVALUE,agresso_m7_read
372,work_kapitk_relations,dim_agldimvalue,datamarts
373,work_mellomsystemet_ag_export_base,Table input,work
374,work_mellomsystemet_ag_export_base,ag_export_base,mellomsystemet
375,work_mellomsystemet_tickets,AG_EXPORT_BASE,mellomsystemet
376,work_mellomsystemet_tickets,AG_EXPORT_BASE (cars & PBE),mellomsystemet
377,work_mellomsystemet_tickets,AG_EXPORT_BASE (cars & PBE) 2,mellomsystemet
378,work_mellomsystemet_tickets,detail,mellomsystemet
379,work_mellomsystemet_tickets,detail (cars & PBE),mellomsystemet
380,work_mellomsystemet_tickets,f1_saldo_1,mellomsystemet
381,work_mellomsystemet_tickets,f1_saldo_3_mnd,mellomsystemet
382,work_mellomsystemet_tickets,work_mellomsystemet_tickets_hist,work
383,work_mellomsystemet_tickets,anbud,datamarts
384,work_mellomsystemet_tickets,anbud 2,datamarts
385,work_mellomsystemet_tickets,connection_name,datamarts
386,work_mellomsystemet_tickets,connection_name 2,datamarts
387,work_mellomsystemet_tickets_hist,work_mellomsystemet_tickets,work
388,work_opled_relations,agresso.AGLRELVALUE,agresso_m7_read
389,work_opled_relations,agresso.AGLRELVALUE 2,agresso_m7_read
390,work_opled_relations,dim_agldimvalue,datamarts
391,work_opled_relations,dim_agldimvalue 2,datamarts
392,work_rappgrp_relations,agresso.AGLRELVALUE,agresso_m7_read
393,work_rappgrp_relations,dim_agldimvalue,datamarts
394,work_schedule,AHSRESSCHEDULE,work
395,work_schedule,Lookup dim_1,work
396,work_schedule,Lookup type & seq,work
397,work_tables,AHSRESSCHEDULE,agresso_m7_read
398,work_tables,APRHISTR,agresso_m7_read
399,work_tables,APRPOSRELVALUE,agresso_m7_read
400,work_tables,APRPOST,agresso_m7_read
401,work_tables,APRRESOURCEPOST,agresso_m7_read
402,work_tables,APSABSENCE,agresso_m7_read
403,work_tables,ahsrelvalue,agresso_m7_read
404,work_tables,ahsresources,agresso_m7_read
405,work_tables,employees,agresso_m7_read
406,work_tickets_new,AUTOPASS,mellomsystemet
407,work_tickets_new,AUTOPASS_NEW,mellomsystemet
408,work_tickets_new,mellomsystemet,mellomsystemet
409,work_tickets_new,test,mellomsystemet
410,work_tickets_new,test 2,mellomsystemet
411,work_tickets_new,dim_agldimvalue4,datamarts
412,work_tickets_new,dim_agldimvalue4 2,datamarts
413,work_tickets_new,dim_anbud,datamarts
414,work_tickets_new,dim_anbud 2,datamarts
415,work_vessel_ownership,agresso.AGLRELVALUE,agresso_m7_read
416,work_vessel_ownership,dim_agldimvalue,datamarts
